City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
17,Carutapera,BR,76.69,overcast clouds,-1.195,-46.02,Lidera
23,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Kununurra,AU,91.38,few clouds,-15.7667,128.7333,Hotel Kununurra
35,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
36,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
43,Loei,TH,76.37,clear sky,17.4167,101.5,Ban Aloi Resort
46,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
51,San Remigio,PH,81.68,overcast clouds,11.0809,123.9381,San Remigio Cultural Center and Leisure
52,Butaritari,KI,81.57,broken clouds,3.0707,172.7902,Isles Sunset Lodge
53,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Takoradi,GH,77.32,light rain,4.8845,-1.7554,Raybow International Hotel
73,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
80,Palasa,IN,75.06,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
81,Sao Filipe,CV,77.05,broken clouds,14.8961,-24.4956,Hotel Xaguate
85,Tautira,PF,77.72,broken clouds,-17.7333,-149.15,Pension Oaoa
90,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
92,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
94,Mecca,SA,76.55,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
95,Salinopolis,BR,79.5,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
101,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
103,Dzaoudzi,YT,75.09,few clouds,-12.7887,45.2699,Le Rocher
108,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
109,Bowen,AU,83.17,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
110,Dumabato,PH,80.37,broken clouds,16.3167,121.7,JBT Mountain View & Recreational Place
113,Poya,NC,81.48,overcast clouds,-21.35,165.15,
120,San Policarpo,PH,80.15,moderate rain,12.1791,125.5072,Agapita M. Nicart
121,Bengkulu,ID,76.78,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
129,Victoria,HK,80.96,broken clouds,22.2855,114.1577,Mini Central
131,Kavaratti,IN,81.66,overcast clouds,10.5669,72.642,Green leaf
146,Itaueira,BR,77.16,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
161,Pailon,BO,76.1,broken clouds,-17.65,-62.75,La plaza
166,Thinadhoo,MV,81.25,overcast clouds,0.5333,72.9333,
170,Faanui,PF,79.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Les Cayes,HT,77.4,few clouds,18.2,-73.75,Villa Orphee
178,Sola,VU,82.6,few clouds,-13.8833,167.55,Leumerus Bungalows
180,Eyl,SO,76.19,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
184,Amahai,ID,86.9,broken clouds,-3.3333,128.9167,HOTEL ISABELA
188,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
195,Itarema,BR,78.39,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Tutoia,BR,78.42,few clouds,-2.7619,-42.2744,Pousada Guará's
198,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
213,Manokwari,ID,83.07,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
214,Banjar,ID,85.08,overcast clouds,-8.19,114.9675,The Hamsa Resort
217,Qui Nhon,VN,81.28,broken clouds,13.7667,109.2333,Seagull Hotel
218,Kalmunai,LK,77.97,broken clouds,7.4167,81.8167,VS Villa
222,Puerto Escondido,MX,77.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
224,Nabire,ID,85.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
230,Banda Aceh,ID,83.44,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
235,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
252,Ugoofaaru,MV,81.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
253,Dingle,PH,85.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
254,Hithadhoo,MV,80.96,broken clouds,-0.6,73.0833,Scoop Guest House
256,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
258,Mangrol,IN,77.25,few clouds,21.1167,70.1167,Hotel The Royal Honours
260,Karratha,AU,80.04,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
265,Nuqui,CO,76.46,moderate rain,5.7125,-77.2708,Hotel Nuquimar
278,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
279,Prainha,BR,77.94,broken clouds,-1.8,-53.48,Casa Rocha
280,Kribi,CM,77.14,light rain,2.95,9.9167,La Grace Hôtel
281,Poum,NC,80.2,overcast clouds,-20.2333,164.0167,
285,Sur,OM,76.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
286,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
287,Turan,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
293,Ambulu,ID,86.67,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
294,Cabadiangan,PH,82.2,overcast clouds,9.7531,122.4739,Kipot
304,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
306,Manali,IN,77.09,broken clouds,13.1667,80.2667,Sarathy Lodge
313,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
315,Oussouye,SN,78.89,scattered clouds,12.485,-16.5469,Auberge du Routard
317,Barra Do Garcas,BR,76.1,clear sky,-15.89,-52.2567,Pousada Tropical
318,Madang,PG,86.92,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
321,Princeton,US,80.01,clear sky,25.5384,-80.4089,American Best Inn
325,Mackay,AU,89.69,scattered clouds,-21.15,149.2,International Lodge Motel
329,Isabela,PH,82.45,light rain,6.7085,121.9711,Isawad Resort
