City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tipitapa,NI,12.1973,-86.0971,74.86,90,71,5.23,broken clouds
1,Fortuna,US,40.5982,-124.1573,43.99,100,16,2.15,few clouds
2,Guiyang,CN,26.5833,106.7167,57.69,77,100,2.24,overcast clouds
3,Talnakh,RU,69.4865,88.3972,-30.51,99,65,0.69,broken clouds
4,Ushuaia,AR,-54.8,-68.3,53.26,43,75,8.05,broken clouds
5,Marawi,PH,7.9986,124.2928,72.36,85,100,2.64,overcast clouds
6,Husavik,IS,66.0449,-17.3389,43.43,81,100,18.54,overcast clouds
7,Toamasina,MG,-18.1667,49.3833,73.4,88,75,1.14,broken clouds
8,Barrow,US,71.2906,-156.7887,24.82,80,0,16.11,clear sky
9,Kodiak,US,57.79,-152.4072,44.11,93,100,21.85,light rain
10,Mar Del Plata,AR,-38.0023,-57.5575,61.18,95,100,5.91,overcast clouds
11,Guadalupe Y Calvo,MX,26.1,-106.9667,41.65,65,11,3.91,few clouds
12,Skelleftea,SE,64.7507,20.9528,10.76,92,25,2.3,scattered clouds
13,Ust-Maya,RU,60.4167,134.5333,-25.01,94,52,2.89,broken clouds
14,Luocheng,CN,29.3848,104.0286,61.72,57,2,0.98,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,12.66,clear sky
16,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,20,12.66,few clouds
17,Carutapera,BR,-1.195,-46.02,76.69,79,100,5.1,overcast clouds
18,Bogorodskoye,RU,56.55,37.8833,25.32,95,100,1.97,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,5.56,84,100,5.59,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,60.91,71,87,8.99,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,73.58,91,100,23.6,moderate rain
22,Narsaq,GL,60.9167,-46.05,23.22,90,46,5.35,scattered clouds
23,Hilo,US,19.7297,-155.09,76.24,91,100,5.75,light rain
24,Benghazi,LY,32.1167,20.0667,67.59,57,0,15.95,clear sky
25,Erenhot,CN,43.6475,111.9767,35.87,32,6,7.29,clear sky
26,Upernavik,GL,72.7868,-56.1549,11.21,94,99,13.76,overcast clouds
27,Jamestown,US,42.097,-79.2353,33.39,64,100,11.5,overcast clouds
28,Kununurra,AU,-15.7667,128.7333,91.38,55,19,6.91,few clouds
29,Broome,US,42.2506,-75.833,36.32,83,100,8.05,overcast clouds
30,Ribeira Grande,PT,38.5167,-28.7,62.78,60,43,1.99,scattered clouds
31,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,63,75,18.16,broken clouds
32,Guane,CU,22.2025,-84.0875,73.85,90,26,5.44,scattered clouds
33,Port Alfred,ZA,-33.5906,26.891,62.19,93,97,3.0,overcast clouds
34,Hit,IQ,33.6416,42.8251,61.39,79,100,2.66,overcast clouds
35,Luanda,AO,-8.8368,13.2343,75.2,83,75,2.3,broken clouds
36,Vaini,TO,-21.2,-175.2,78.96,83,75,3.44,broken clouds
37,Busselton,AU,-33.65,115.3333,62.26,56,88,21.0,overcast clouds
38,West Bay,KY,19.3667,-81.4167,82.47,81,20,8.05,few clouds
39,Albany,US,42.6001,-73.9662,38.68,89,54,5.84,broken clouds
40,Tupelo,US,34.2576,-88.7034,37.69,66,20,0.0,few clouds
41,Chokurdakh,RU,70.6333,147.9167,-22.32,100,86,5.48,overcast clouds
42,New Norfolk,AU,-42.7826,147.0587,59.9,48,100,3.0,overcast clouds
